# Time-averaged data for fix rg_out
# TimeStep c_rg
0 28.0001
100 28.0802
200 28.1376
300 28.1891
400 28.2194
500 28.2453
600 28.2628
700 28.2743
800 28.2784
900 28.2732
1000 28.2595
1100 28.2371
1200 28.206
1300 28.1696
1400 28.1242
1500 28.0713
1600 28.0024
1700 27.9245
1800 27.8428
1900 27.7559
2000 27.6579
2100 27.5439
2200 27.4159
2300 27.2897
2400 27.1638
2500 27.032
2600 26.8854
2700 26.7182
2800 26.5476
2900 26.384
3000 26.2183
3100 26.0391
3200 25.8454
3300 25.6524
3400 25.4692
3500 25.2726
3600 25.0592
3700 24.833
3800 24.6104
3900 24.3972
4000 24.1883
4100 23.9481
4200 23.6948
4300 23.4506
4400 23.2146
4500 22.9762
4600 22.7177
4700 22.4421
4800 22.1801
4900 21.922
5000 21.6585
5100 21.3813
5200 21.0934
5300 20.8171
5400 20.5542
5500 20.2792
5600 19.985
5700 19.6854
5800 19.4154
5900 19.1388
6000 18.8432
6100 18.5401
6200 18.2475
6300 17.969
6400 17.6875
6500 17.3684
6600 17.063
6700 16.7681
6800 16.4768
6900 16.1599
7000 15.8236
7100 15.5139
7200 15.2155
7300 14.9095
7400 14.5957
7500 14.2894
7600 14.0021
7700 13.7052
7800 13.3767
7900 13.0464
8000 12.7347
8100 12.4331
8200 12.1371
8300 11.842
8400 11.5523
8500 11.2692
8600 10.9933
8700 10.7259
8800 10.4688
8900 10.2221
9000 9.969
9100 9.70835
9200 9.45529
9300 9.22107
9400 8.99155
9500 8.7423
9600 8.48147
9700 8.24053
9800 8.00758
9900 7.7795
10000 7.53779
10100 7.28663
10200 7.05686
10300 6.82811
10400 6.58718
10500 6.3581
10600 6.16734
10700 5.95736
10800 5.74697
10900 5.54774
11000 5.34982
11100 5.14258
11200 4.9505
11300 4.75241
11400 4.57704
11500 4.37971
11600 4.17712
11700 3.96948
11800 3.77582
11900 3.59103
12000 3.42478
12100 3.29066
12200 3.13959
12300 2.98481
12400 2.87049
12500 2.73272
12600 2.64759
12700 2.60019
12800 2.59079
12900 2.60224
13000 2.61837
13100 2.67296
13200 2.6814
13300 2.70041
13400 2.70128
13500 2.70029
13600 2.69952
13700 2.67791
13800 2.70061
13900 2.71427
14000 2.6924
14100 2.65889
