# Time-averaged data for fix rg_out
# TimeStep c_rg
0 28.0001
100 28.0868
200 28.1484
300 28.2044
400 28.2372
500 28.263
600 28.2776
700 28.282
800 28.2733
900 28.2537
1000 28.2245
1100 28.1847
1200 28.129
1300 28.0621
1400 27.9845
1500 27.8999
1600 27.8046
1700 27.6978
1800 27.5723
1900 27.4257
2000 27.2748
2100 27.1223
2200 26.9542
2300 26.7643
2400 26.5743
2500 26.3902
2600 26.1948
2700 25.9831
2800 25.7526
2900 25.5219
3000 25.3042
3100 25.0762
3200 24.8236
3300 24.5618
3400 24.3062
3500 24.0486
3600 23.7752
3700 23.4906
3800 23.1992
3900 22.8994
4000 22.5874
4100 22.282
4200 21.9904
4300 21.6904
4400 21.3546
4500 21.0115
4600 20.6823
4700 20.3632
4800 20.042
4900 19.6939
5000 19.3246
5100 18.9775
5200 18.6436
5300 18.3038
5400 17.9608
5500 17.6226
5600 17.2954
5700 16.959
5800 16.5898
5900 16.2142
6000 15.8558
6100 15.5003
6200 15.1397
6300 14.7679
6400 14.396
6500 14.026
6600 13.6685
6700 13.316
6800 12.9459
6900 12.5547
7000 12.1813
7100 11.8411
7200 11.4951
7300 11.1297
7400 10.7483
7500 10.3783
7600 10.0361
7700 9.69234
7800 9.33118
7900 8.97295
8000 8.63196
8100 8.28888
8200 7.91743
8300 7.54169
8400 7.19203
8500 6.85871
8600 6.52975
8700 6.21648
8800 5.93655
8900 5.63834
9000 5.32669
9100 5.02667
9200 4.72847
9300 4.45434
9400 4.22237
9500 3.98299
9600 3.77256
9700 3.58928
9800 3.43434
9900 3.30451
10000 3.19092
10100 3.07725
10200 2.95089
10300 2.88536
10400 2.87175
10500 2.83751
10600 2.81561
10700 2.80838
10800 2.84659
10900 2.87
11000 2.90489
11100 2.88793
11200 2.86619
11300 2.83672
11400 2.82575
11500 2.81982
11600 2.80423
11700 2.78805
11800 2.78248
11900 2.79962
12000 2.81623
12100 2.81473
12200 2.84871
12300 2.90679
12400 2.97297
12500 3.02673
12600 3.07466
12700 3.11269
12800 3.15629
12900 3.17459
13000 3.14929
13100 3.15001
13200 3.15301
13300 3.14197
13400 3.15222
13500 3.18504
13600 3.215
13700 3.22232
13800 3.19806
13900 3.20174
14000 3.16895
14100 3.11938
14200 3.08037
14300 3.03091
14400 2.98264
14500 2.95009
14600 2.90144
14700 2.8784
14800 2.91439
14900 2.93071
15000 2.91693
15100 2.97496
15200 3.03087
15300 3.03267
15400 3.00963
15500 3.01932
15600 3.0669
15700 3.07752
15800 3.09333
15900 3.09333
16000 3.13598
16100 3.11674
16200 3.12868
16300 3.11029
16400 3.08621
16500 3.10269
16600 3.13099
16700 3.17568
16800 3.22489
16900 3.20674
17000 3.14727
17100 3.10393
17200 3.08509
17300 3.08228
17400 3.08326
17500 3.05355
17600 3.00531
17700 2.99
17800 2.96339
17900 2.93632
18000 2.92406
18100 2.90546
18200 2.90533
18300 2.89403
18400 2.9133
18500 2.96223
18600 2.96531
18700 2.93219
18800 2.96406
18900 2.9891
19000 3.01841
19100 3.0501
19200 3.08443
19300 3.09836
19400 3.08264
19500 3.07532
19600 3.10368
19700 3.11223
19800 3.13128
19900 3.19973
20000 3.26901
20100 3.31253
20200 3.31912
20300 3.30989
20400 3.3223
20500 3.34147
20600 3.29846
20700 3.25919
20800 3.24261
20900 3.23999
21000 3.20789
21100 3.21819
21200 3.24082
21300 3.30392
21400 3.32261
21500 3.27273
21600 3.21499
21700 3.19223
21800 3.19309
21900 3.18435
22000 3.18917
22100 3.19831
22200 3.22617
22300 3.24848
22400 3.28986
22500 3.33889
22600 3.41321
22700 3.41212
22800 3.41391
22900 3.392
23000 3.35552
23100 3.3375
23200 3.31364
23300 3.24663
23400 3.17607
23500 3.15029
23600 3.14648
23700 3.16416
23800 3.20586
23900 3.22949
24000 3.24119
24100 3.24021
24200 3.21921
24300 3.19342
24400 3.2047
24500 3.18439
24600 3.18977
24700 3.19847
24800 3.22794
24900 3.26721
25000 3.27726
25100 3.27513
25200 3.29705
25300 3.29659
25400 3.29898
25500 3.33078
25600 3.3357
25700 3.30638
25800 3.28748
25900 3.25784
26000 3.23937
26100 3.22914
26200 3.20126
26300 3.19944
26400 3.18205
26500 3.15868
26600 3.17228
26700 3.19025
26800 3.1646
26900 3.16628
27000 3.14791
27100 3.16209
27200 3.13031
27300 3.10926
27400 3.16339
27500 3.22513
27600 3.27875
27700 3.3338
27800 3.40678
27900 3.41911
28000 3.40975
28100 3.40433
28200 3.42596
28300 3.46007
28400 3.48934
28500 3.49084
28600 3.49759
28700 3.51915
28800 3.511
28900 3.48529
29000 3.46888
29100 3.44675
29200 3.43979
29300 3.43197
29400 3.43685
29500 3.40038
29600 3.40982
29700 3.41807
29800 3.39591
29900 3.35879
30000 3.34389
30100 3.38458
30200 3.43672
30300 3.47875
30400 3.48468
30500 3.46366
30600 3.44538
30700 3.4512
30800 3.43922
30900 3.40323
31000 3.36502
31100 3.33452
31200 3.28217
31300 3.23486
31400 3.17886
31500 3.12935
31600 3.07847
31700 3.10007
31800 3.13621
31900 3.13735
32000 3.13383
32100 3.13378
32200 3.11883
32300 3.11269
32400 3.12695
32500 3.14684
32600 3.13978
32700 3.12377
32800 3.12318
32900 3.12826
33000 3.13367
33100 3.13235
33200 3.16835
33300 3.17472
33400 3.16112
33500 3.15589
33600 3.14724
33700 3.1547
33800 3.13588
33900 3.1537
34000 3.18308
34100 3.17695
34200 3.2084
34300 3.23094
34400 3.21379
34500 3.21724
34600 3.24563
34700 3.27194
34800 3.24332
34900 3.26748
35000 3.29281
35100 3.32444
35200 3.36827
35300 3.35584
35400 3.30511
35500 3.295
35600 3.31034
35700 3.28393
35800 3.24853
35900 3.21703
36000 3.20351
36100 3.19339
36200 3.17916
36300 3.11118
36400 3.03445
36500 2.98331
36600 2.94613
36700 2.91972
36800 2.90631
36900 2.89551
37000 2.90194
37100 2.90719
37200 2.91936
37300 2.96647
37400 2.97237
37500 2.98872
37600 2.99395
37700 3.03044
37800 3.03458
37900 3.03038
38000 3.03134
38100 3.06867
38200 3.06919
38300 3.07143
38400 3.10882
38500 3.12258
38600 3.13159
38700 3.09226
38800 3.0691
38900 3.02887
39000 2.99005
39100 2.95627
39200 2.95261
39300 2.97462
39400 3.02065
39500 3.03865
39600 3.03964
39700 3.02653
39800 3.04717
39900 3.08919
40000 3.12719
40100 3.11926
40200 3.14597
40300 3.16335
40400 3.22212
40500 3.28349
40600 3.31666
40700 3.28514
40800 3.28825
40900 3.2685
41000 3.32483
41100 3.3928
41200 3.38727
41300 3.40387
41400 3.45367
41500 3.45599
41600 3.45759
41700 3.46973
41800 3.51425
41900 3.5555
42000 3.5904
42100 3.5997
42200 3.61334
42300 3.63482
42400 3.64431
42500 3.65663
42600 3.7498
42700 3.80919
42800 3.84692
42900 3.85356
43000 3.8284
43100 3.79928
43200 3.76336
43300 3.70874
43400 3.65491
43500 3.6196
43600 3.58837
43700 3.57856
43800 3.53138
43900 3.45687
44000 3.40752
44100 3.35171
44200 3.31929
44300 3.30934
44400 3.27692
44500 3.27339
44600 3.28326
44700 3.28063
44800 3.2855
44900 3.30788
45000 3.32774
45100 3.30736
45200 3.31669
45300 3.32184
45400 3.31096
45500 3.29768
45600 3.27007
45700 3.23139
45800 3.23667
45900 3.30111
46000 3.33101
46100 3.34556
46200 3.36253
46300 3.36781
46400 3.36729
46500 3.37393
46600 3.34147
46700 3.29657
46800 3.22802
46900 3.15892
47000 3.06084
47100 2.97947
47200 2.91896
47300 2.87758
47400 2.88166
47500 2.88918
47600 2.8546
47700 2.80575
47800 2.78289
47900 2.77139
48000 2.73017
48100 2.6771
48200 2.64464
48300 2.64968
48400 2.61995
48500 2.57947
48600 2.54384
48700 2.52462
48800 2.55574
48900 2.60139
49000 2.63527
49100 2.64328
49200 2.71616
49300 2.75534
49400 2.78769
49500 2.80619
49600 2.84337
49700 2.87872
49800 2.89284
49900 2.86176
50000 2.86301
50100 2.90197
50200 2.96199
50300 2.99331
50400 3.00401
50500 3.01764
50600 3.0173
50700 2.97498
50800 2.95203
50900 2.96134
51000 2.9788
51100 3.00608
51200 3.08218
51300 3.13801
51400 3.16
51500 3.18723
51600 3.2158
51700 3.22156
51800 3.25565
51900 3.28724
52000 3.27953
52100 3.27659
52200 3.2624
52300 3.2377
52400 3.23113
52500 3.21418
52600 3.20708
52700 3.19185
52800 3.18647
52900 3.16097
53000 3.15009
53100 3.1688
53200 3.2333
53300 3.27638
53400 3.26329
53500 3.23363
53600 3.23602
53700 3.22424
53800 3.22348
53900 3.2617
54000 3.2748
54100 3.28581
54200 3.36106
54300 3.39091
54400 3.42632
54500 3.43246
54600 3.4378
54700 3.43277
54800 3.4667
54900 3.48245
55000 3.52452
55100 3.57143
55200 3.59229
55300 3.57865
55400 3.55791
55500 3.5079
55600 3.45675
55700 3.45342
55800 3.47997
55900 3.52173
56000 3.53175
56100 3.52187
56200 3.51066
56300 3.52126
56400 3.54934
56500 3.544
56600 3.53106
56700 3.49785
56800 3.48232
56900 3.48185
57000 3.54378
57100 3.58566
57200 3.58727
57300 3.62428
57400 3.65228
57500 3.67086
57600 3.66927
57700 3.63888
57800 3.64648
57900 3.6897
58000 3.71485
58100 3.71791
58200 3.72885
58300 3.71375
58400 3.70773
58500 3.6605
58600 3.62438
58700 3.65222
58800 3.70779
58900 3.73858
59000 3.70995
59100 3.70495
59200 3.71884
59300 3.67994
59400 3.70341
59500 3.74761
59600 3.79014
59700 3.84068
59800 3.89022
59900 3.91037
60000 3.93872
60100 3.95256
60200 3.93474
60300 3.916
60400 3.86087
60500 3.82686
60600 3.84942
60700 3.86566
60800 3.88509
60900 3.86187
61000 3.84526
61100 3.81825
61200 3.79581
61300 3.79856
61400 3.82811
61500 3.8305
61600 3.79741
61700 3.81881
61800 3.80964
61900 3.79279
62000 3.77936
62100 3.74765
62200 3.74361
62300 3.75285
62400 3.72526
62500 3.72057
62600 3.70251
62700 3.66063
62800 3.60488
62900 3.53943
63000 3.50886
63100 3.51482
63200 3.55042
63300 3.5682
63400 3.53468
63500 3.45725
63600 3.38408
63700 3.31667
63800 3.26214
63900 3.2037
64000 3.20221
64100 3.22777
64200 3.23285
64300 3.22376
64400 3.24451
64500 3.2919
64600 3.33025
64700 3.35233
64800 3.37778
64900 3.37924
65000 3.43841
65100 3.49677
65200 3.50968
65300 3.54649
65400 3.55516
65500 3.57039
65600 3.552
65700 3.58038
65800 3.6169
65900 3.62326
66000 3.61416
66100 3.56344
66200 3.52937
66300 3.50896
66400 3.4699
66500 3.41861
66600 3.41585
66700 3.41684
66800 3.39714
66900 3.37551
67000 3.366
67100 3.31557
67200 3.26255
67300 3.22251
67400 3.1738
67500 3.08146
67600 3.01349
67700 3.02221
67800 3.00328
67900 3.03061
68000 3.02261
68100 3.05205
68200 3.0959
68300 3.13263
68400 3.16604
68500 3.17686
68600 3.21279
68700 3.23454
68800 3.21227
68900 3.19542
69000 3.2333
69100 3.27873
69200 3.3228
69300 3.3738
69400 3.37494
69500 3.38636
69600 3.41339
69700 3.43352
69800 3.46504
69900 3.50242
70000 3.53261
70100 3.5431
70200 3.5307
70300 3.50538
70400 3.49593
70500 3.49549
70600 3.48755
70700 3.45785
70800 3.43818
70900 3.43013
71000 3.42712
71100 3.41301
71200 3.39068
71300 3.34541
71400 3.27839
71500 3.2064
71600 3.14387
71700 3.12582
71800 3.10545
71900 3.10118
72000 3.07639
72100 3.06397
72200 3.05032
72300 3.02657
72400 3.02227
72500 3.02325
72600 3.00577
72700 2.98445
72800 2.96632
72900 2.97762
73000 2.9983
73100 3.07726
73200 3.12169
73300 3.13323
73400 3.12594
73500 3.13942
73600 3.17291
73700 3.21664
73800 3.20583
73900 3.19391
74000 3.21791
74100 3.24602
74200 3.26773
74300 3.29416
74400 3.29061
74500 3.29108
74600 3.26914
74700 3.23939
74800 3.23917
74900 3.23823
75000 3.29003
75100 3.30357
75200 3.30486
75300 3.27963
75400 3.23998
75500 3.23609
75600 3.22371
75700 3.19387
75800 3.18044
75900 3.15035
76000 3.1162
76100 3.10809
76200 3.09041
76300 3.07835
76400 3.07673
76500 3.08589
76600 3.08199
76700 3.08922
76800 3.09289
76900 3.07022
77000 3.07323
77100 3.05658
77200 3.0319
77300 2.97935
77400 2.96094
77500 2.9433
77600 2.90517
77700 2.87297
77800 2.86425
77900 2.84318
78000 2.78869
78100 2.78292
78200 2.7392
78300 2.70879
78400 2.71023
78500 2.74147
78600 2.80322
78700 2.82766
78800 2.87411
78900 2.8988
79000 2.91166
79100 2.95732
79200 2.958
79300 2.93663
79400 2.92654
79500 2.91121
79600 2.88022
79700 2.85455
79800 2.8575
79900 2.85826
80000 2.88368
80100 2.90446
80200 2.90353
80300 2.90964
80400 2.87316
80500 2.82679
80600 2.79264
80700 2.78671
80800 2.82161
80900 2.84543
81000 2.82856
81100 2.84202
81200 2.85043
81300 2.87588
81400 2.88241
81500 2.89654
81600 2.88959
81700 2.90089
81800 2.94365
81900 2.96052
82000 2.99926
82100 3.01405
82200 3.05389
82300 3.06493
82400 3.03741
82500 3.00292
82600 2.97662
82700 3.00344
82800 2.9985
82900 2.97725
83000 2.94726
83100 2.91267
83200 2.87473
83300 2.88317
83400 2.85909
83500 2.88636
83600 2.8815
83700 2.87097
83800 2.84074
83900 2.84346
84000 2.8567
84100 2.8187
84200 2.81777
84300 2.80918
84400 2.78929
84500 2.76532
84600 2.77754
84700 2.83261
84800 2.88555
84900 2.90184
85000 2.9195
85100 2.95788
85200 3.02983
85300 3.08362
85400 3.08792
85500 3.11326
85600 3.09787
85700 3.0517
85800 3.00255
85900 2.97263
86000 2.96066
86100 2.97785
86200 3.02684
86300 3.066
86400 3.04474
86500 3.06046
86600 3.08987
86700 3.11749
86800 3.10797
86900 3.06139
87000 3.02852
87100 3.00663
87200 2.96241
87300 2.98658
87400 3.01379
87500 3.00229
87600 2.98352
87700 2.9548
87800 2.93422
87900 2.93083
88000 2.92135
88100 2.91546
88200 2.96304
88300 2.97061
88400 2.99697
88500 3.06123
88600 3.06988
88700 3.04652
88800 3.04378
88900 3.0281
89000 3.0247
89100 2.98915
89200 2.95806
89300 2.93709
89400 2.90375
89500 2.86602
89600 2.88815
89700 2.88003
89800 2.85202
89900 2.83728
90000 2.88692
90100 2.89098
90200 2.91612
90300 2.93758
90400 2.91241
90500 2.91608
90600 2.89857
90700 2.86584
90800 2.86824
90900 2.89655
91000 2.91525
91100 2.93538
91200 2.91855
91300 2.9594
91400 2.96364
91500 2.87607
91600 2.84616
91700 2.84418
91800 2.82612
91900 2.86748
92000 2.88611
92100 2.91181
92200 2.91078
92300 2.90119
92400 2.85596
92500 2.85
92600 2.83795
92700 2.81486
92800 2.79621
92900 2.76277
93000 2.72744
93100 2.69028
93200 2.65368
93300 2.63527
93400 2.64746
93500 2.64221
93600 2.71002
93700 2.76627
93800 2.80006
93900 2.85827
94000 2.84948
94100 2.82024
94200 2.84018
94300 2.86018
94400 2.89073
94500 2.93692
94600 3.00185
94700 3.03651
94800 3.06734
94900 3.10739
95000 3.13631
95100 3.12658
95200 3.10481
95300 3.10782
95400 3.10838
95500 3.11381
95600 3.10907
95700 3.11076
95800 3.13917
95900 3.15601
96000 3.17033
96100 3.1786
96200 3.15421
96300 3.14793
96400 3.12988
96500 3.12296
96600 3.117
96700 3.13184
96800 3.11703
96900 3.09243
97000 3.08237
97100 3.11336
97200 3.12845
97300 3.14798
97400 3.17629
97500 3.22016
97600 3.20984
97700 3.21362
97800 3.20241
97900 3.18137
98000 3.16395
98100 3.15757
98200 3.14846
98300 3.18106
98400 3.20881
98500 3.20994
98600 3.24528
98700 3.29514
98800 3.36201
98900 3.39493
99000 3.40262
99100 3.40748
99200 3.40308
99300 3.40135
99400 3.38591
99500 3.3365
99600 3.2815
99700 3.25062
99800 3.24242
99900 3.24326
100000 3.26801
