# Time-averaged data for fix rg_out
# TimeStep c_rg
0 56.0023
100 56.0368
200 56.0627
300 56.0846
400 56.0976
500 56.1099
600 56.1193
700 56.1273
800 56.1332
900 56.136
1000 56.1374
1100 56.1348
1200 56.1306
1300 56.1214
1400 56.1113
1500 56.0976
1600 56.0823
1700 56.0615
1800 56.0375
1900 56.0111
2000 55.9843
2100 55.9552
2200 55.9209
2300 55.8824
2400 55.8404
2500 55.7972
2600 55.7515
2700 55.7006
2800 55.6432
2900 55.5851
3000 55.5251
3100 55.4637
3200 55.396
3300 55.3229
3400 55.2473
3500 55.1706
3600 55.0919
3700 55.0102
3800 54.924
3900 54.8319
4000 54.7391
4100 54.6483
4200 54.5545
4300 54.4544
4400 54.3522
4500 54.2479
4600 54.1432
4700 54.04
4800 53.9315
4900 53.8142
5000 53.6937
5100 53.5731
5200 53.4522
5300 53.3307
5400 53.2078
5500 53.0791
5600 52.9402
5700 52.797
5800 52.658
5900 52.5223
6000 52.3809
6100 52.2359
6200 52.0894
6300 51.9438
6400 51.8021
6500 51.6564
6600 51.5025
6700 51.3451
6800 51.1946
6900 51.0456
7000 50.8898
7100 50.7267
7200 50.5619
7300 50.405
7400 50.2503
7500 50.086
7600 49.9152
7700 49.7377
7800 49.5644
7900 49.3985
8000 49.2303
8100 49.0553
8200 48.8743
8300 48.7012
8400 48.5328
8500 48.3532
8600 48.167
8700 47.9844
8800 47.8062
8900 47.6169
9000 47.4168
9100 47.2232
9200 47.0356
9300 46.8484
9400 46.653
9500 46.4476
9600 46.2447
9700 46.054
9800 45.8639
9900 45.6701
10000 45.471
10100 45.2741
10200 45.0856
10300 44.8946
10400 44.6929
10500 44.4872
10600 44.2824
10700 44.0776
10800 43.8728
10900 43.6734
11000 43.4798
11100 43.2796
11200 43.067
11300 42.8543
11400 42.6472
11500 42.4432
11600 42.2376
11700 42.0278
11800 41.823
11900 41.6248
12000 41.422
12100 41.2059
12200 40.9857
12300 40.7694
12400 40.5551
12500 40.3365
12600 40.1167
12700 39.9049
12800 39.6984
12900 39.4888
13000 39.2675
13100 39.0519
13200 38.8453
13300 38.6343
13400 38.4155
13500 38.199
13600 37.9946
13700 37.7947
13800 37.5847
13900 37.3652
14000 37.1383
14100 36.9099
14200 36.6919
14300 36.4798
14400 36.2633
14500 36.0411
14600 35.8195
14700 35.611
14800 35.4028
14900 35.1848
15000 34.9647
15100 34.7561
15200 34.5541
15300 34.3446
15400 34.1247
15500 33.8985
15600 33.6773
15700 33.4665
15800 33.2547
15900 33.036
16000 32.8111
16100 32.5895
16200 32.3835
16300 32.1786
16400 31.9704
16500 31.7654
16600 31.5685
16700 31.3665
16800 31.1523
16900 30.937
17000 30.7305
17100 30.5294
17200 30.3302
17300 30.1246
17400 29.9085
17500 29.6977
17600 29.4949
17700 29.2958
17800 29.0955
17900 28.908
18000 28.7247
18100 28.5275
18200 28.3226
18300 28.1223
18400 27.9309
18500 27.739
18600 27.5349
18700 27.3273
18800 27.1301
18900 26.937
19000 26.7479
19100 26.5618
19200 26.3779
19300 26.1951
19400 26.0186
19500 25.8443
19600 25.6645
19700 25.4767
19800 25.3016
19900 25.1337
20000 24.9702
20100 24.8106
20200 24.6527
20300 24.4984
20400 24.3426
20500 24.1795
20600 24.0098
20700 23.8434
20800 23.6801
20900 23.5259
21000 23.3827
21100 23.2412
21200 23.09
21300 22.9341
21400 22.7711
21500 22.6116
21600 22.4605
21700 22.3073
21800 22.1533
21900 21.9962
22000 21.8338
22100 21.672
22200 21.5151
22300 21.3632
22400 21.2067
22500 21.0398
22600 20.879
22700 20.719
22800 20.5585
22900 20.4001
23000 20.2518
23100 20.108
23200 19.9663
23300 19.8196
23400 19.6663
23500 19.5138
23600 19.3642
23700 19.2172
23800 19.0735
23900 18.932
24000 18.7847
24100 18.6326
24200 18.4875
24300 18.3377
24400 18.1865
24500 18.0416
24600 17.8994
24700 17.7586
24800 17.6136
24900 17.4613
25000 17.3035
25100 17.1454
25200 16.9917
25300 16.8422
25400 16.6956
25500 16.5383
25600 16.3759
25700 16.2193
25800 16.0647
25900 15.9117
26000 15.7532
26100 15.598
26200 15.4397
26300 15.2845
26400 15.1347
26500 14.9871
26600 14.8415
26700 14.698
26800 14.5581
26900 14.4196
27000 14.2759
27100 14.1206
27200 13.962
27300 13.8077
27400 13.6508
27500 13.4961
27600 13.3456
27700 13.1992
27800 13.0562
27900 12.9144
28000 12.7707
28100 12.6176
28200 12.4669
28300 12.3171
28400 12.1708
28500 12.0215
28600 11.8734
28700 11.7156
28800 11.5652
