# Time-averaged data for fix rg_out
# TimeStep c_rg
0 56.0023
100 56.0402
200 56.0677
300 56.0924
400 56.1067
500 56.1203
600 56.1289
700 56.1359
800 56.1381
900 56.1362
1000 56.1298
1100 56.1202
1200 56.1062
1300 56.0877
1400 56.0629
1500 56.0355
1600 56.0037
1700 55.9663
1800 55.9228
1900 55.8745
2000 55.8236
2100 55.768
2200 55.7077
2300 55.6425
2400 55.5731
2500 55.5026
2600 55.4278
2700 55.3458
2800 55.259
2900 55.1708
3000 55.0809
3100 54.9856
3200 54.8832
3300 54.7737
3400 54.6648
3500 54.5564
3600 54.4423
3700 54.3188
3800 54.19
3900 54.0598
4000 53.9273
4100 53.7917
4200 53.653
4300 53.51
4400 53.363
4500 53.2096
4600 53.0521
4700 52.8966
4800 52.7418
4900 52.5765
5000 52.3996
5100 52.2234
5200 52.0501
5300 51.8739
5400 51.6886
5500 51.487
5600 51.2878
5700 51.092
5800 50.9002
5900 50.7078
6000 50.5032
6100 50.2896
6200 50.0811
6300 49.8803
6400 49.6726
6500 49.4563
6600 49.2348
6700 49.0207
6800 48.8124
6900 48.5948
7000 48.3671
7100 48.1358
7200 47.907
7300 47.6775
7400 47.4389
7500 47.196
7600 46.9642
7700 46.7353
7800 46.4965
7900 46.2522
8000 46.0108
8100 45.772
8200 45.5289
8300 45.2795
8400 45.0203
8500 44.7603
8600 44.5125
8700 44.2661
8800 44.0064
8900 43.7383
9000 43.4751
9100 43.2174
9200 42.967
9300 42.7187
9400 42.458
9500 42.1867
9600 41.9266
9700 41.668
9800 41.406
9900 41.1353
10000 40.847
10100 40.5597
10200 40.2851
10300 40.0132
10400 39.7373
10500 39.4506
10600 39.155
10700 38.8748
10800 38.6038
10900 38.3266
11000 38.0377
11100 37.745
11200 37.4704
11300 37.1991
11400 36.9146
11500 36.6273
11600 36.3515
11700 36.0862
11800 35.8008
11900 35.5025
12000 35.2104
12100 34.9281
12200 34.6445
12300 34.3528
12400 34.0559
12500 33.7732
12600 33.4939
12700 33.2021
12800 32.9032
12900 32.6103
13000 32.3248
13100 32.0402
13200 31.7513
13300 31.4513
13400 31.154
13500 30.8718
13600 30.5931
13700 30.3126
13800 30.0396
13900 29.7738
14000 29.4934
14100 29.2049
14200 28.9235
14300 28.6468
14400 28.3701
14500 28.0926
14600 27.8104
14700 27.5211
14800 27.2304
14900 26.9477
15000 26.6785
15100 26.4101
15200 26.1279
15300 25.8366
15400 25.558
15500 25.2862
15600 25.0184
15700 24.7618
15800 24.5174
15900 24.2675
16000 23.9976
16100 23.7165
16200 23.4575
16300 23.2033
16400 22.9471
