# Time-averaged data for fix rg_out
# TimeStep c_rg
0 5.59329
100 5.87489
200 6.05247
300 6.14538
400 6.12164
500 6.06386
600 5.90355
700 5.61541
800 5.26347
900 4.94033
1000 4.61312
1100 4.25607
1200 3.8949
1300 3.54292
1400 3.27956
1500 2.97873
1600 2.66769
1700 2.39954
1800 2.24349
1900 2.06221
2000 1.99333
2100 1.98307
2200 1.97566
2300 1.95426
2400 2.01787
2500 2.00974
2600 2.09474
2700 2.20577
2800 2.30764
2900 2.44163
3000 2.63307
3100 2.84527
3200 3.02391
3300 3.20178
3400 3.36964
3500 3.53442
3600 3.68007
3700 3.77343
3800 3.83601
3900 3.88758
4000 3.91316
4100 3.91921
4200 3.90866
4300 3.91317
4400 3.8874
4500 3.85299
4600 3.80405
4700 3.75602
4800 3.74081
4900 3.69723
5000 3.6694
5100 3.63194
5200 3.59344
5300 3.53641
5400 3.44548
5500 3.34016
5600 3.19969
5700 3.07024
5800 3.01037
5900 2.97167
6000 3.03923
6100 3.11333
6200 3.11151
6300 3.1297
6400 3.15372
6500 3.15479
6600 3.22418
6700 3.26604
6800 3.27512
6900 3.31164
7000 3.2438
7100 3.2165
7200 3.33407
7300 3.43454
7400 3.50568
7500 3.51523
7600 3.44381
7700 3.4053
7800 3.33308
7900 3.25625
8000 3.16653
8100 3.09956
8200 3.0638
8300 3.04624
8400 3.07747
8500 3.15356
8600 3.17448
8700 3.19088
8800 3.20389
8900 3.15514
9000 3.09274
9100 3.01966
9200 2.90495
9300 2.76361
9400 2.61825
9500 2.45702
9600 2.32154
9700 2.14898
9800 1.98409
9900 1.81873
10000 1.68676
10100 1.62788
10200 1.66275
10300 1.73976
10400 1.77326
10500 1.78887
10600 1.75196
10700 1.73831
10800 1.68851
10900 1.64488
11000 1.59967
11100 1.56312
11200 1.624
11300 1.56474
11400 1.56023
11500 1.57568
11600 1.66834
11700 1.76842
11800 1.89601
11900 2.03145
12000 2.10819
12100 2.1662
12200 2.16856
12300 2.20611
12400 2.3169
12500 2.39732
12600 2.50735
12700 2.55625
12800 2.5759
12900 2.53139
13000 2.51663
13100 2.4867
13200 2.45893
13300 2.46129
13400 2.4405
13500 2.44194
13600 2.38094
13700 2.33369
13800 2.20405
13900 2.14273
14000 2.07945
14100 2.07876
14200 2.11032
14300 2.07818
14400 2.10714
14500 2.08572
14600 2.01697
14700 1.91958
14800 1.86922
14900 1.90683
15000 1.92661
15100 1.89398
15200 1.90602
15300 1.96186
15400 1.98902
15500 2.0325
15600 2.0655
15700 2.08162
15800 2.14095
15900 2.23204
16000 2.36902
16100 2.48439
16200 2.58316
16300 2.68486
16400 2.75121
16500 2.78699
16600 2.85164
16700 2.88307
16800 2.925
16900 2.96059
17000 2.99041
17100 3.01596
17200 3.06378
17300 3.10669
17400 3.15371
17500 3.18823
17600 3.18998
17700 3.16008
17800 3.13509
17900 3.10873
18000 3.12301
18100 3.13596
18200 3.13002
18300 3.12503
18400 3.08035
18500 3.05067
18600 2.96982
18700 2.89079
18800 2.78337
18900 2.64174
19000 2.48283
19100 2.39599
19200 2.30796
19300 2.22633
19400 2.15672
19500 2.14001
19600 2.11425
19700 2.06987
19800 2.02393
19900 2.03997
20000 2.14201
20100 2.15211
20200 2.0432
20300 1.9834
20400 1.99192
20500 2.0512
20600 2.12972
20700 2.14688
20800 2.04017
20900 1.96936
21000 1.87363
21100 1.88814
21200 1.93517
21300 1.9595
21400 1.9546
21500 1.97023
21600 2.04379
21700 2.1588
21800 2.23582
21900 2.32093
22000 2.46053
22100 2.58934
22200 2.6966
22300 2.81419
22400 2.90339
22500 2.93652
22600 2.96716
22700 2.98147
22800 2.9579
22900 2.91149
23000 2.87943
23100 2.83382
23200 2.80221
23300 2.75488
23400 2.68306
23500 2.57867
23600 2.49406
23700 2.3647
23800 2.23909
23900 2.09009
24000 1.97718
24100 1.90108
24200 1.77162
24300 1.7161
24400 1.76476
24500 1.89181
24600 1.93476
24700 2.03556
24800 2.0652
24900 2.06491
25000 1.98836
25100 1.84408
25200 1.71161
25300 1.57653
25400 1.49624
25500 1.44569
25600 1.46845
25700 1.51118
25800 1.55546
25900 1.57303
26000 1.62967
26100 1.7708
26200 1.91771
26300 2.05226
26400 2.16737
26500 2.25694
26600 2.33491
26700 2.32337
26800 2.35548
26900 2.32097
27000 2.41921
27100 2.51252
27200 2.56895
27300 2.59364
27400 2.61418
27500 2.60701
27600 2.59072
27700 2.54926
27800 2.44024
27900 2.48666
28000 2.50521
28100 2.55715
28200 2.60591
28300 2.57391
28400 2.54785
28500 2.45211
28600 2.41606
28700 2.38448
28800 2.32765
28900 2.25038
29000 2.26745
29100 2.27976
29200 2.27686
29300 2.25429
29400 2.22245
29500 2.22535
29600 2.17413
29700 2.12631
29800 2.10378
29900 2.0707
30000 1.97184
30100 1.77087
30200 1.65998
30300 1.5744
30400 1.45194
30500 1.373
30600 1.42664
30700 1.42891
30800 1.49381
30900 1.56302
31000 1.63601
31100 1.85077
31200 2.03364
31300 2.09567
31400 2.05571
31500 2.03806
31600 2.01473
31700 2.01865
31800 2.04912
31900 2.08701
32000 2.20595
32100 2.32798
32200 2.4723
32300 2.61743
32400 2.69224
32500 2.77238
32600 2.81996
32700 2.85068
32800 2.88741
32900 2.88324
33000 2.85335
33100 2.82078
33200 2.76202
33300 2.7278
33400 2.61332
33500 2.46699
33600 2.39786
33700 2.35069
33800 2.31736
33900 2.27399
34000 2.24858
34100 2.24249
34200 2.20988
34300 2.15506
34400 2.16113
34500 2.14228
34600 2.14975
34700 2.08427
34800 2.03064
34900 1.9091
35000 1.8825
35100 1.80803
35200 1.74353
35300 1.79549
35400 1.78823
35500 1.7746
35600 1.84962
35700 1.9038
35800 1.89532
35900 1.92733
36000 1.94576
36100 1.97677
36200 2.03693
36300 2.00917
36400 1.93329
36500 1.91682
36600 2.04167
36700 2.12514
36800 2.21919
36900 2.28021
37000 2.35384
37100 2.47835
37200 2.54328
37300 2.48835
37400 2.39669
37500 2.27775
37600 2.22219
37700 2.18394
37800 2.31009
37900 2.45458
38000 2.65835
38100 2.79965
38200 2.80926
38300 2.77097
38400 2.76423
38500 2.76952
38600 2.70208
38700 2.63135
38800 2.58675
38900 2.62653
39000 2.70634
39100 2.74233
39200 2.73763
39300 2.74309
39400 2.75333
39500 2.7199
39600 2.73451
39700 2.73329
39800 2.71784
39900 2.65085
40000 2.63241
40100 2.59967
40200 2.60092
40300 2.66295
40400 2.65013
40500 2.6549
40600 2.5993
40700 2.58486
40800 2.61059
40900 2.68048
41000 2.71843
41100 2.74374
41200 2.78507
41300 2.80828
41400 2.87839
41500 2.9595
41600 3.06075
41700 3.10349
41800 3.10133
41900 3.11672
42000 3.13115
42100 3.0795
42200 3.05418
42300 3.01529
