# Time-averaged data for fix rg_out
# TimeStep c_rg
0 56.0023
100 56.043
200 56.0724
300 56.0987
400 56.1146
500 56.1271
600 56.134
700 56.136
800 56.1319
900 56.1222
1000 56.1074
1100 56.0866
1200 56.059
1300 56.0249
1400 55.9847
1500 55.9404
1600 55.8901
1700 55.8307
1800 55.7613
1900 55.6858
2000 55.6083
2100 55.5273
2200 55.4405
2300 55.3429
2400 55.236
2500 55.1283
2600 55.0194
2700 54.907
2800 54.788
2900 54.6569
3000 54.5174
3100 54.3826
3200 54.2448
3300 54.0991
3400 53.9433
3500 53.7805
3600 53.6227
3700 53.4637
3800 53.2956
3900 53.1185
4000 52.9311
4100 52.7436
4200 52.5627
4300 52.3767
4400 52.1771
4500 51.9694
4600 51.7685
4700 51.5719
4800 51.3609
4900 51.1359
5000 50.9034
5100 50.6764
5200 50.4553
5300 50.2281
5400 49.9898
5500 49.7454
5600 49.4985
5700 49.2516
5800 49.0072
5900 48.7588
6000 48.492
6100 48.2173
6200 47.9477
6300 47.6826
6400 47.4107
6500 47.1119
6600 46.81
6700 46.5233
6800 46.2408
6900 45.9591
7000 45.6689
7100 45.3646
7200 45.0609
7300 44.7714
7400 44.4803
7500 44.1749
7600 43.8607
7700 43.5591
7800 43.2689
7900 42.9626
8000 42.642
8100 42.3212
8200 42.0111
8300 41.7026
8400 41.3684
8500 41.0283
8600 40.7028
8700 40.3839
8800 40.0602
8900 39.7222
9000 39.3825
9100 39.0609
9200 38.7456
9300 38.4166
9400 38.075
9500 37.7398
9600 37.4279
9700 37.1182
9800 36.7926
9900 36.4484
10000 36.0957
10100 35.7536
10200 35.4241
10300 35.0832
10400 34.7236
10500 34.3645
10600 34.0192
10700 33.6813
10800 33.333
10900 32.9598
11000 32.5919
11100 32.237
11200 31.8845
11300 31.5337
11400 31.1696
11500 30.7916
11600 30.4296
11700 30.0827
11800 29.7272
11900 29.3557
12000 28.9829
12100 28.6309
12200 28.2823
12300 27.9206
12400 27.5438
12500 27.1648
12600 26.7999
12700 26.4511
12800 26.0911
12900 25.7201
13000 25.3473
13100 24.9736
13200 24.6113
13300 24.2624
13400 23.8976
13500 23.5182
13600 23.1461
13700 22.7858
13800 22.4291
13900 22.0746
14000 21.7279
14100 21.3857
14200 21.0235
14300 20.6512
14400 20.2871
14500 19.9425
14600 19.5992
14700 19.2549
14800 18.9037
14900 18.5458
15000 18.1995
15100 17.8758
15200 17.5492
15300 17.2096
15400 16.8727
15500 16.5493
15600 16.2373
15700 15.9228
15800 15.5891
15900 15.2517
16000 14.922
16100 14.6
16200 14.2825
16300 13.9719
16400 13.6735
16500 13.3743
16600 13.0598
16700 12.7385
16800 12.4279
16900 12.124
17000 11.8279
17100 11.5336
17200 11.2373
17300 10.9222
17400 10.6097
17500 10.3192
17600 10.0364
17700 9.74232
17800 9.43876
17900 9.13513
