# Time-averaged data for fix rg_out
# TimeStep c_rg
0 28.0001
100 28.0724
200 28.1254
300 28.1697
400 28.1973
500 28.2206
600 28.239
700 28.2545
800 28.2639
900 28.2667
1000 28.2669
1100 28.2571
1200 28.2443
1300 28.2213
1400 28.1942
1500 28.1637
1600 28.1292
1700 28.0841
1800 28.0296
1900 27.9724
2000 27.9164
2100 27.8576
2200 27.7921
2300 27.7192
2400 27.6342
2500 27.5464
2600 27.4593
2700 27.3675
2800 27.265
2900 27.1565
3000 27.0408
3100 26.9304
3200 26.8205
3300 26.6998
3400 26.5695
3500 26.4324
3600 26.3009
3700 26.1696
3800 26.0255
3900 25.8636
4000 25.704
4100 25.5483
4200 25.3899
4300 25.2144
4400 25.0259
4500 24.8519
4600 24.6823
4700 24.5039
4800 24.3148
4900 24.1253
5000 23.9405
5100 23.7639
5200 23.5695
5300 23.3662
5400 23.1622
5500 22.9626
5600 22.7605
5700 22.5412
5800 22.3123
5900 22.0977
6000 21.8886
6100 21.6696
6200 21.4393
6300 21.2111
6400 21.001
6500 20.7873
6600 20.5517
6700 20.315
6800 20.0865
6900 19.8647
7000 19.6411
7100 19.4138
7200 19.1826
7300 18.9589
7400 18.7483
7500 18.5546
7600 18.3521
7700 18.1288
7800 17.897
7900 17.6667
8000 17.4537
8100 17.2462
8200 17.0349
8300 16.8202
8400 16.6089
8500 16.3931
8600 16.1668
8700 15.9415
8800 15.7306
8900 15.5277
9000 15.3145
9100 15.0915
9200 14.8768
9300 14.6793
9400 14.4815
9500 14.2773
9600 14.0647
9700 13.852
9800 13.6595
9900 13.4646
10000 13.26
10100 13.0524
10200 12.8508
10300 12.6494
10400 12.4487
10500 12.2536
10600 12.0797
10700 11.8935
10800 11.6939
10900 11.4959
11000 11.2987
11100 11.1118
11200 10.9262
11300 10.7494
11400 10.5768
11500 10.3949
11600 10.2193
11700 10.064
11800 9.911
11900 9.7523
12000 9.58621
12100 9.41732
12200 9.26274
12300 9.11223
12400 8.95684
12500 8.78977
12600 8.61143
12700 8.45121
12800 8.29139
12900 8.12284
13000 7.94987
13100 7.7899
13200 7.64517
13300 7.4837
13400 7.31746
13500 7.15693
13600 7.01034
13700 6.85567
13800 6.68218
13900 6.51482
14000 6.35415
14100 6.20061
14200 6.03999
14300 5.89433
14400 5.75375
14500 5.61635
14600 5.45379
14700 5.30352
14800 5.15491
14900 5.00964
15000 4.86964
15100 4.73879
15200 4.60852
15300 4.47089
15400 4.33855
15500 4.19429
15600 4.06194
15700 3.91456
15800 3.76929
15900 3.6365
16000 3.49675
16100 3.35874
16200 3.24012
16300 3.12429
16400 3.00597
16500 2.87208
16600 2.75042
16700 2.63878
16800 2.54001
16900 2.43402
17000 2.29917
17100 2.22363
17200 2.19929
17300 2.17384
17400 2.20657
17500 2.22665
17600 2.22414
17700 2.25451
17800 2.2398
17900 2.22229
18000 2.25883
18100 2.30866
18200 2.31531
18300 2.30176
18400 2.27464
18500 2.24716
18600 2.2164
18700 2.21119
18800 2.20229
18900 2.21036
19000 2.21476
19100 2.24372
19200 2.26854
19300 2.23625
19400 2.20859
19500 2.18611
19600 2.17582
19700 2.17355
19800 2.18618
19900 2.1789
20000 2.15733
20100 2.18249
20200 2.16655
20300 2.17431
20400 2.18586
20500 2.18693
20600 2.14955
20700 2.1669
20800 2.18555
20900 2.191
21000 2.18197
21100 2.16816
21200 2.1443
21300 2.15242
21400 2.15221
21500 2.14435
21600 2.14788
21700 2.17007
21800 2.15199
21900 2.1627
22000 2.18199
22100 2.19049
22200 2.19864
22300 2.20253
22400 2.19024
22500 2.19598
22600 2.22993
22700 2.23266
22800 2.22051
22900 2.20016
23000 2.19148
23100 2.20378
23200 2.22421
23300 2.20752
23400 2.20594
23500 2.22376
23600 2.23304
23700 2.2582
23800 2.25658
23900 2.2746
24000 2.27152
24100 2.28099
24200 2.26707
24300 2.26635
24400 2.30348
24500 2.32658
24600 2.3108
24700 2.29888
24800 2.28105
24900 2.29116
25000 2.28893
25100 2.29743
25200 2.29717
25300 2.29902
25400 2.30249
25500 2.30131
25600 2.31907
25700 2.32963
25800 2.30757
25900 2.30586
26000 2.30845
26100 2.33544
26200 2.32079
26300 2.30434
26400 2.2963
26500 2.32277
26600 2.30283
26700 2.25846
26800 2.27589
26900 2.30104
27000 2.29491
27100 2.27931
27200 2.26866
27300 2.26833
27400 2.26693
27500 2.27475
27600 2.27504
27700 2.27617
27800 2.29059
27900 2.30479
28000 2.29181
28100 2.26648
28200 2.26752
28300 2.25272
28400 2.24874
28500 2.27058
28600 2.27918
28700 2.30536
28800 2.30165
28900 2.2802
29000 2.28685
29100 2.28859
29200 2.281
29300 2.26238
29400 2.22611
29500 2.21556
29600 2.23288
29700 2.24938
29800 2.23465
29900 2.19749
30000 2.18764
30100 2.21939
30200 2.23698
30300 2.22388
30400 2.21328
30500 2.208
30600 2.21887
30700 2.23201
30800 2.23151
30900 2.27096
31000 2.25999
31100 2.24768
31200 2.24443
31300 2.22791
31400 2.25719
31500 2.25043
31600 2.23711
31700 2.26185
31800 2.28412
31900 2.30814
32000 2.30539
32100 2.29462
32200 2.29409
32300 2.27165
32400 2.29291
32500 2.27798
32600 2.2903
32700 2.28986
32800 2.30634
32900 2.30264
33000 2.28688
33100 2.29994
33200 2.29025
33300 2.27382
33400 2.30437
33500 2.30492
33600 2.27576
33700 2.27666
33800 2.31479
33900 2.30946
34000 2.30115
34100 2.2991
34200 2.30786
34300 2.27098
34400 2.27521
34500 2.31445
34600 2.3213
34700 2.35167
34800 2.3666
34900 2.36995
35000 2.36456
35100 2.3388
35200 2.3304
35300 2.31551
35400 2.34374
35500 2.36809
35600 2.36186
35700 2.36697
35800 2.39354
35900 2.37772
36000 2.35814
36100 2.34982
36200 2.37116
36300 2.33972
36400 2.32727
36500 2.32029
36600 2.30342
36700 2.30856
36800 2.33295
36900 2.3051
37000 2.32087
37100 2.31745
37200 2.31803
37300 2.31067
37400 2.3081
37500 2.32364
37600 2.32069
37700 2.34042
37800 2.32571
37900 2.31144
38000 2.30805
38100 2.32606
38200 2.316
38300 2.30226
38400 2.28955
38500 2.2833
38600 2.2961
38700 2.31924
38800 2.31507
38900 2.27203
39000 2.26302
39100 2.25973
39200 2.30883
39300 2.28994
39400 2.30174
39500 2.29532
39600 2.28268
39700 2.28789
39800 2.29328
39900 2.2724
40000 2.27873
40100 2.30556
40200 2.30534
40300 2.31161
40400 2.33685
40500 2.33755
40600 2.32707
40700 2.33173
40800 2.35996
40900 2.31402
41000 2.3185
41100 2.31966
41200 2.31312
41300 2.3209
41400 2.30691
41500 2.32913
41600 2.31715
41700 2.33361
41800 2.32653
41900 2.34686
42000 2.32265
42100 2.32435
42200 2.33252
42300 2.30088
42400 2.32569
42500 2.35323
42600 2.34217
42700 2.32153
42800 2.34056
42900 2.35656
43000 2.34495
43100 2.33625
43200 2.35286
43300 2.36197
43400 2.36113
43500 2.3438
43600 2.33682
43700 2.36533
43800 2.35417
43900 2.35649
44000 2.36197
44100 2.34825
44200 2.35568
44300 2.37138
44400 2.36689
44500 2.38894
44600 2.37643
44700 2.38326
44800 2.36931
44900 2.36498
45000 2.35377
45100 2.37125
45200 2.38914
45300 2.41852
45400 2.41668
45500 2.42665
45600 2.41567
45700 2.43439
45800 2.4238
45900 2.41111
46000 2.39993
46100 2.41498
46200 2.39327
