# Time-averaged data for fix rg_out
# TimeStep c_rg
0 13.9979
100 14.0474
200 14.0776
300 14.1042
400 14.108
500 14.1081
600 14.0861
700 14.06
800 14.015
900 13.962
1000 13.9014
1100 13.8148
1200 13.7123
1300 13.5965
1400 13.4806
1500 13.3638
1600 13.2293
1700 13.081
1800 12.9313
1900 12.7843
2000 12.6308
2100 12.468
2200 12.2911
2300 12.1096
2400 11.9385
2500 11.7504
2600 11.542
2700 11.3155
2800 11.0959
2900 10.8781
3000 10.643
3100 10.3773
3200 10.1075
3300 9.86717
3400 9.63749
3500 9.40607
3600 9.16142
3700 8.89743
3800 8.65994
3900 8.44181
4000 8.20986
4100 7.95816
4200 7.7035
4300 7.47554
4400 7.25247
4500 7.03412
4600 6.79473
4700 6.55975
4800 6.35578
4900 6.16294
5000 5.95495
5100 5.74215
5200 5.50728
5300 5.30304
5400 5.11447
5500 4.91975
5600 4.71577
5700 4.51959
5800 4.3201
5900 4.13465
6000 3.94968
6100 3.74546
6200 3.54565
6300 3.38627
6400 3.24665
6500 3.12279
6600 3.00197
6700 2.88309
6800 2.77507
6900 2.66414
7000 2.53981
7100 2.44803
7200 2.35956
7300 2.29673
7400 2.20615
7500 2.11034
7600 2.02715
7700 1.94049
7800 1.91198
7900 1.9235
8000 1.89779
8100 1.81085
8200 1.79487
8300 1.80201
8400 1.7918
8500 1.77675
8600 1.81385
8700 1.84355
8800 1.83211
8900 1.82981
9000 1.82063
9100 1.81845
9200 1.80178
9300 1.77632
9400 1.80255
9500 1.79774
9600 1.7458
9700 1.72503
9800 1.7248
9900 1.7619
10000 1.77895
10100 1.73373
10200 1.7369
10300 1.74647
10400 1.75659
10500 1.75281
10600 1.79791
10700 1.79496
10800 1.82147
10900 1.81226
11000 1.8057
11100 1.82466
11200 1.82048
11300 1.81056
11400 1.83378
11500 1.83711
11600 1.81055
11700 1.79424
11800 1.81843
11900 1.82562
12000 1.86058
12100 1.89057
12200 1.92125
12300 1.93605
12400 1.89357
12500 1.86945
12600 1.84972
12700 1.85278
