# Time-averaged data for fix rg_out
# TimeStep c_rg
0 13.9979
100 14.0541
200 14.1027
300 14.1304
400 14.1475
500 14.1591
600 14.1732
700 14.1761
800 14.1768
900 14.166
1000 14.1569
1100 14.1448
1200 14.1259
1300 14.0956
1400 14.0589
1500 14.0141
1600 13.9712
1700 13.9054
1800 13.8285
1900 13.7425
2000 13.6559
2100 13.5704
2200 13.4709
2300 13.3522
2400 13.2266
2500 13.1094
2600 12.9959
2700 12.8621
2800 12.7221
2900 12.5865
3000 12.4576
3100 12.3225
3200 12.175
3300 12.0239
3400 11.8779
3500 11.7305
3600 11.578
3700 11.3998
3800 11.2309
3900 11.0845
4000 10.9211
4100 10.7548
4200 10.5913
4300 10.4494
4400 10.3071
4500 10.1486
4600 9.9788
4700 9.80399
4800 9.63778
4900 9.48493
5000 9.32022
5100 9.13529
5200 8.96242
5300 8.80705
5400 8.65298
5500 8.48726
5600 8.31911
5700 8.1607
5800 8.01146
5900 7.85476
6000 7.68547
6100 7.50627
6200 7.34755
6300 7.20239
6400 7.06261
6500 6.91873
6600 6.76664
6700 6.63693
6800 6.50576
6900 6.38505
7000 6.28255
7100 6.16594
7200 6.02758
7300 5.88449
7400 5.76503
7500 5.63215
7600 5.47877
7700 5.32799
7800 5.18043
7900 5.03626
8000 4.92082
8100 4.80822
8200 4.69023
8300 4.56343
8400 4.43684
8500 4.31402
8600 4.195
8700 4.05768
8800 3.91423
8900 3.78155
9000 3.65213
9100 3.51996
9200 3.38128
9300 3.26955
9400 3.15725
9500 3.05462
9600 2.9275
9700 2.80833
9800 2.71271
9900 2.62256
10000 2.54831
10100 2.48714
10200 2.40088
10300 2.33084
10400 2.24319
10500 2.166
10600 2.07897
10700 2.00364
10800 1.93981
10900 1.89976
11000 1.89326
11100 1.87052
11200 1.85932
11300 1.86599
11400 1.84253
11500 1.83767
11600 1.79902
11700 1.79616
11800 1.82459
11900 1.8383
12000 1.8236
12100 1.82626
12200 1.84129
12300 1.82884
12400 1.81255
12500 1.8249
12600 1.81736
12700 1.81228
12800 1.82081
12900 1.83568
13000 1.84826
13100 1.82534
13200 1.80383
13300 1.79775
13400 1.7985
13500 1.82367
13600 1.84472
13700 1.82012
13800 1.78348
13900 1.78423
14000 1.80861
14100 1.80295
14200 1.80016
14300 1.8209
14400 1.81454
14500 1.79019
14600 1.80027
14700 1.80377
14800 1.81631
14900 1.82058
15000 1.82438
15100 1.83575
15200 1.84028
15300 1.83659
15400 1.823
15500 1.83971
15600 1.82335
15700 1.79301
15800 1.77376
15900 1.77734
16000 1.7796
16100 1.75667
16200 1.7529
16300 1.7293
16400 1.73263
16500 1.73196
16600 1.73381
16700 1.73514
16800 1.72415
16900 1.73119
17000 1.69834
17100 1.7033
17200 1.71966
17300 1.72742
17400 1.71401
17500 1.71278
17600 1.74671
17700 1.76485
17800 1.77783
17900 1.76004
18000 1.72173
18100 1.75561
18200 1.79189
18300 1.81186
18400 1.81867
18500 1.8067
18600 1.83347
18700 1.82875
18800 1.82808
18900 1.86323
19000 1.85347
19100 1.87321
19200 1.86179
19300 1.84778
19400 1.84058
19500 1.82177
19600 1.80527
19700 1.84004
19800 1.84991
19900 1.85311
20000 1.8423
20100 1.82598
20200 1.83675
20300 1.85892
20400 1.82969
20500 1.83151
20600 1.86067
20700 1.86711
20800 1.84068
20900 1.8163
21000 1.80496
21100 1.8149
21200 1.79902
21300 1.78133
21400 1.80817
21500 1.82425
21600 1.81017
21700 1.80963
21800 1.80785
21900 1.8239
22000 1.81424
22100 1.78134
22200 1.76934
22300 1.77512
22400 1.76942
22500 1.75873
22600 1.72097
22700 1.72763
22800 1.72862
22900 1.74547
23000 1.74412
23100 1.72271
