# Time-averaged data for fix rg_out
# TimeStep c_rg
0 5.59329
100 5.85798
200 6.0388
300 6.13599
400 6.12021
500 6.10317
600 5.98085
700 5.78792
800 5.49549
900 5.24146
1000 4.98371
1100 4.71887
1200 4.38196
1300 4.07156
1400 3.78702
1500 3.55398
1600 3.33472
1700 3.07186
1800 2.78687
1900 2.53302
2000 2.35506
2100 2.22353
2200 2.09292
2300 2.08948
2400 2.04903
2500 2.03469
2600 2.08326
2700 2.10458
2800 2.13434
2900 2.18851
3000 2.2741
3100 2.26525
3200 2.27725
3300 2.26584
3400 2.26959
3500 2.22604
3600 2.16266
3700 2.1197
3800 2.13592
3900 2.15011
4000 2.22421
4100 2.29225
4200 2.31223
4300 2.29179
4400 2.28101
4500 2.2897
4600 2.25048
4700 2.24372
4800 2.17741
4900 2.03365
5000 1.92476
5100 1.88146
5200 1.8212
5300 1.76002
5400 1.76528
5500 1.77848
5600 1.86913
5700 1.90098
5800 1.99577
5900 2.04994
6000 2.09413
6100 2.11655
6200 2.12436
6300 2.12381
6400 2.16985
6500 2.17899
6600 2.1554
6700 2.11819
6800 2.1197
6900 2.16091
7000 2.15394
7100 2.08126
7200 2.05882
7300 2.01977
7400 2.0249
7500 2.05249
7600 2.03987
7700 1.99616
7800 1.91419
7900 1.90446
8000 1.90379
8100 1.93368
8200 2.00878
8300 2.10748
8400 2.14882
8500 2.19192
8600 2.14129
8700 2.01877
8800 1.97388
8900 1.98057
9000 2.00951
9100 2.01984
9200 2.06243
9300 2.0718
9400 2.13822
9500 2.17533
9600 2.25658
9700 2.33818
9800 2.33084
9900 2.32652
10000 2.29687
10100 2.27966
10200 2.24393
10300 2.22463
10400 2.23532
10500 2.24927
10600 2.22843
10700 2.15941
10800 2.11815
10900 2.02647
11000 1.95104
11100 1.95707
11200 1.92037
11300 1.91091
11400 1.93369
11500 1.86755
11600 1.82037
11700 1.73731
11800 1.67723
11900 1.66269
12000 1.62787
12100 1.57382
12200 1.54337
12300 1.53747
12400 1.50615
12500 1.53062
12600 1.61512
12700 1.68516
12800 1.79714
12900 1.91935
13000 2.00154
13100 2.03863
13200 2.05366
13300 2.05455
13400 2.09405
13500 2.17186
13600 2.13095
13700 2.12948
13800 2.13115
13900 2.12189
14000 2.06343
14100 1.93714
14200 1.8366
14300 1.82354
14400 1.77248
14500 1.73087
14600 1.72932
14700 1.79286
14800 1.86283
14900 1.93382
15000 1.94513
15100 1.98442
15200 2.01385
15300 2.04047
15400 2.05506
15500 2.03133
15600 2.01313
15700 2.01798
15800 1.97177
15900 1.96934
16000 1.92224
16100 1.92748
16200 1.96663
16300 1.97487
16400 1.98979
16500 1.97777
16600 1.96068
16700 1.92119
16800 1.86828
16900 1.81799
17000 1.71597
17100 1.63998
17200 1.58053
17300 1.54472
17400 1.49771
17500 1.52875
17600 1.58166
17700 1.56647
17800 1.54414
17900 1.56682
18000 1.57929
18100 1.60079
18200 1.61697
18300 1.65446
18400 1.63961
18500 1.72614
18600 1.73167
18700 1.72751
18800 1.70204
18900 1.6853
19000 1.65219
19100 1.67548
19200 1.75245
19300 1.77267
19400 1.75994
19500 1.74916
19600 1.76395
19700 1.76919
19800 1.75145
19900 1.7707
20000 1.78147
20100 1.80727
20200 1.73488
20300 1.69568
20400 1.68751
20500 1.56131
20600 1.52324
20700 1.50318
20800 1.47827
20900 1.52639
21000 1.68693
21100 1.79263
21200 1.89648
21300 1.91563
21400 1.86243
21500 1.86334
21600 1.84969
21700 1.7921
21800 1.73452
