# Time-averaged data for fix rg_out
# TimeStep c_rg
0 5.59329
100 5.83749
200 6.02242
300 6.10915
400 6.10744
500 6.11212
600 6.05727
700 5.94528
800 5.76489
900 5.5753
1000 5.40641
1100 5.16181
1200 4.92237
1300 4.68179
1400 4.45677
1500 4.2352
1600 3.99377
1700 3.7344
1800 3.47981
1900 3.27801
2000 3.08781
2100 2.88411
2200 2.6929
2300 2.47347
2400 2.28521
2500 2.16234
2600 2.02233
2700 1.8642
2800 1.73141
2900 1.61388
3000 1.61484
3100 1.63827
3200 1.71481
3300 1.72443
3400 1.73243
3500 1.70482
3600 1.6474
3700 1.60534
3800 1.47279
3900 1.46387
4000 1.42863
4100 1.44665
4200 1.32399
4300 1.26936
4400 1.19673
4500 1.19681
4600 1.21785
4700 1.27772
4800 1.27301
4900 1.2849
5000 1.29185
5100 1.33272
5200 1.39627
5300 1.39731
5400 1.39723
5500 1.32057
5600 1.33027
5700 1.32883
5800 1.36494
5900 1.37804
6000 1.41294
6100 1.37252
6200 1.3716
6300 1.34559
6400 1.33118
6500 1.32785
6600 1.37833
6700 1.35819
6800 1.41119
6900 1.51693
7000 1.54677
7100 1.60295
7200 1.63979
7300 1.66948
7400 1.65494
7500 1.64322
7600 1.59068
7700 1.55561
7800 1.52734
7900 1.45627
8000 1.42288
8100 1.49253
8200 1.43394
8300 1.43667
8400 1.35234
8500 1.28089
8600 1.33545
8700 1.31445
8800 1.35303
8900 1.29176
9000 1.2433
9100 1.23179
9200 1.20909
9300 1.23709
9400 1.2412
9500 1.26024
9600 1.28925
9700 1.33191
9800 1.30715
9900 1.32412
10000 1.30584
10100 1.24304
10200 1.27051
10300 1.30073
10400 1.30116
10500 1.28475
10600 1.20987
10700 1.25073
10800 1.24734
10900 1.25344
11000 1.26966
11100 1.28371
11200 1.23385
11300 1.2902
11400 1.30107
11500 1.2342
11600 1.24161
11700 1.24251
11800 1.24012
11900 1.19692
12000 1.24911
12100 1.24871
12200 1.24604
12300 1.26259
12400 1.28177
12500 1.33928
12600 1.35162
12700 1.36105
12800 1.26281
12900 1.30165
13000 1.25893
13100 1.24123
13200 1.2967
13300 1.30648
13400 1.29557
13500 1.31145
13600 1.32079
13700 1.37264
13800 1.36721
13900 1.3223
14000 1.36494
