# Time-averaged data for fix rg_out
# TimeStep c_rg
0 13.9979
100 14.0368
200 14.0428
300 14.0521
400 14.0262
500 13.9798
600 13.9067
700 13.801
800 13.6727
900 13.544
1000 13.3984
1100 13.2339
1200 13.0634
1300 12.8917
1400 12.7375
1500 12.5544
1600 12.3436
1700 12.11
1800 11.8701
1900 11.637
2000 11.3924
2100 11.092
2200 10.7687
2300 10.47
2400 10.1672
2500 9.84975
2600 9.49324
2700 9.11747
2800 8.79738
2900 8.47528
3000 8.1439
3100 7.78104
3200 7.4155
3300 7.07927
3400 6.75952
3500 6.41935
3600 6.05615
3700 5.70463
3800 5.37373
3900 5.03425
4000 4.70355
4100 4.38089
4200 4.085
4300 3.79726
4400 3.52334
4500 3.22557
4600 2.98773
4700 2.7671
4800 2.60257
4900 2.48452
5000 2.3575
5100 2.24399
5200 2.13823
5300 2.16379
5400 2.17989
5500 2.19649
5600 2.22688
5700 2.23514
5800 2.25907
5900 2.24922
6000 2.19122
6100 2.16186
6200 2.15803
6300 2.16049
6400 2.18766
6500 2.24342
6600 2.28449
6700 2.30523
6800 2.22419
6900 2.20104
7000 2.16245
7100 2.14315
7200 2.18797
7300 2.26691
7400 2.28911
7500 2.38525
7600 2.47259
7700 2.54847
7800 2.65035
7900 2.78027
8000 2.85732
8100 2.88655
8200 2.89764
8300 2.91141
8400 2.928
8500 2.94809
8600 2.99911
8700 3.02691
8800 3.03842
8900 3.05045
9000 3.04426
9100 3.04122
9200 3.03546
9300 2.99845
9400 3.02023
9500 2.99873
9600 2.96822
9700 2.95155
9800 2.95793
9900 2.99796
10000 3.02506
10100 3.02636
10200 3.06353
10300 3.04816
10400 3.02941
10500 3.03228
10600 3.06649
10700 3.14923
10800 3.16701
10900 3.2074
11000 3.21965
11100 3.26767
11200 3.32132
11300 3.36151
11400 3.36407
11500 3.35842
11600 3.34287
11700 3.32463
11800 3.33662
11900 3.34602
12000 3.33455
12100 3.30706
12200 3.31466
12300 3.31705
12400 3.34058
12500 3.36126
12600 3.40542
12700 3.4659
12800 3.48906
12900 3.51426
13000 3.55086
13100 3.55553
13200 3.52796
13300 3.51718
13400 3.46558
13500 3.42425
13600 3.39818
13700 3.3604
13800 3.32414
13900 3.2807
14000 3.19223
14100 3.12273
14200 3.10628
14300 3.06581
14400 3.00853
14500 2.95537
14600 2.96241
14700 2.97607
14800 2.98238
14900 3.00715
15000 3.04706
15100 3.08579
15200 3.16438
15300 3.2661
15400 3.30003
15500 3.3007
15600 3.33759
15700 3.34944
15800 3.37186
15900 3.41421
16000 3.43258
16100 3.41765
16200 3.46305
16300 3.48812
16400 3.48659
16500 3.51406
16600 3.50758
16700 3.47773
16800 3.4535
16900 3.38099
17000 3.3379
17100 3.3635
17200 3.40061
17300 3.4425
17400 3.48182
17500 3.41321
17600 3.32562
17700 3.21828
17800 3.14921
17900 3.09555
18000 3.10084
18100 3.08371
18200 3.05469
18300 3.00881
18400 2.97065
18500 2.9417
18600 2.92251
18700 2.91767
18800 2.9652
18900 2.96959
19000 2.9844
19100 3.01798
19200 2.98598
19300 2.96959
19400 2.94695
19500 2.93609
19600 2.90595
19700 2.81952
19800 2.80811
19900 2.85697
20000 2.84175
20100 2.88919
20200 2.9021
20300 2.87112
20400 2.8579
20500 2.83302
20600 2.79914
20700 2.77513
20800 2.8282
20900 2.85418
21000 2.88177
21100 2.93979
21200 2.92665
21300 2.91815
21400 2.95389
21500 3.06104
21600 3.23133
21700 3.40217
21800 3.56244
21900 3.70972
22000 3.76863
22100 3.79021
22200 3.79131
22300 3.7752
22400 3.82623
22500 3.87641
22600 3.88748
22700 3.93066
22800 3.9676
22900 3.94346
23000 3.91428
23100 3.90681
23200 3.87526
23300 3.81904
23400 3.75162
23500 3.69715
23600 3.65114
23700 3.61091
23800 3.51827
23900 3.40353
24000 3.28935
24100 3.1737
24200 3.09132
24300 3.04733
24400 3.00226
24500 3.02229
24600 3.01003
24700 3.05414
24800 3.09737
24900 3.1347
25000 3.123
25100 3.1371
25200 3.13373
25300 3.13148
25400 3.12438
25500 3.12408
25600 3.1407
25700 3.17414
25800 3.16574
25900 3.14172
26000 3.11421
26100 3.08026
26200 3.05947
26300 3.01048
26400 2.94896
26500 2.87059
26600 2.8475
26700 2.83058
26800 2.81942
26900 2.8298
27000 2.81539
27100 2.81778
27200 2.81479
27300 2.82147
27400 2.84517
27500 2.87109
27600 2.88038
27700 2.88059
27800 2.88326
27900 2.93616
28000 2.96408
28100 2.96407
28200 2.99744
28300 3.07287
28400 3.11795
